Dimension;Kriterium;Gewicht;Anbieter 1;Anbieter 2;Anbieter 3;Anbieter 4;Kommentar
D1 Funktion;KUN Kunden & Kontakte;10%;;;;;
D1 Funktion;OBJ Einheiten & Belegung;10%;;;;;
D1 Funktion;BUC Online-Buchung & Portal;10%;;;;;
D1 Funktion;VER Vertragsmanagement;15%;;;;;
D1 Funktion;PRI Preise & Rabatte;5%;;;;;
D1 Funktion;ABR Abrechnung & Zahlung;20%;;;;;
D1 Funktion;MAH Mahnwesen;10%;;;;;
D1 Funktion;ZUT Zutrittskontrolle;5%;;;;;
D1 Funktion;BUH Buchhaltung & Schnittstellen;5%;;;;;
D1 Funktion;REP Reporting;5%;;;;;
D1 Funktion;KOM Kommunikation;3%;;;;;
D1 Funktion;ADM Administration & Datenschutz;2%;;;;;
D1 Funktion;ZWISCHENERGEBNIS D1 (45%);45%;;;;;
D2 Kosten;SaaS-Lizenz 36 Monate (EUR);;;;;;
D2 Kosten;Einmalige Einrichtung (EUR);;;;;;
D2 Kosten;Datenmigration (EUR);;;;;;
D2 Kosten;Zusatzmodule 36 Monate (EUR);;;;;;
D2 Kosten;Zahlungsentgelte 36 Monate (EUR, geschaetzt);;;;;;
D2 Kosten;Interner Aufwand 36 Monate (EUR, geschaetzt);;;;;;
D2 Kosten;TCO 36 Monate gesamt (EUR);;;;;;
D2 Kosten;ZWISCHENERGEBNIS D2 (25%);25%;;;;;
D3 Einfuehrbarkeit;Startzusage nach Beauftragung;;;;;;
D3 Einfuehrbarkeit;Migrationsunterstuetzung;;;;;;
D3 Einfuehrbarkeit;Konfigurationsaufwand;;;;;;
D3 Einfuehrbarkeit;Schulungsbedarf;;;;;;
D3 Einfuehrbarkeit;Testumgebung vorhanden;;;;;;
D3 Einfuehrbarkeit;ZWISCHENERGEBNIS D3 (20%);20%;;;;;
D4 Anbieter;Sprache und Support;;;;;;
D4 Anbieter;Referenzen DACH/Oesterreich;;;;;;
D4 Anbieter;Stabilitaet und Kundenzahl;;;;;;
D4 Anbieter;Datenschutz und Hosting;;;;;;
D4 Anbieter;Vertragskonditionen und Ausstieg;;;;;;
D4 Anbieter;ZWISCHENERGEBNIS D4 (10%);10%;;;;;
GESAMT;Gesamtpunktzahl (0-100);100%;;;;;
GESAMT;K.o.-Kriterien vollstaendig erfuellt (ja/nein);;;;;;
GESAMT;Rang;;;;;;
