ID;Domaene;Anforderung;Prioritaet;KO;Prueffrage an den Anbieter;Phase
KUN-01;Kunden & Kontakte;Verwaltung von Privat- und Firmenkunden mit getrennten Pflichtfeldern (UID, Firmenwortlaut);Muss;nein;Wie werden Firmenkunden mit abweichender Rechnungsanschrift abgebildet?;1
KUN-02;Kunden & Kontakte;Ein Kunde kann mehrere Einheiten und mehrere Vertraege gleichzeitig halten;Muss;ja;Wie sieht die Kundenakte bei 3 Vertraegen aus?;1
KUN-03;Kunden & Kontakte;Vollstaendige Kundenhistorie (Vertraege, Rechnungen, Zahlungen, Kommunikation, Notizen) auf einen Blick;Muss;nein;Zeigen Sie die Kundenakte in der Demo.;1
KUN-04;Kunden & Kontakte;Dublettenpruefung bei Neuanlage;Soll;nein;Woran wird eine Dublette erkannt?;1
KUN-05;Kunden & Kontakte;Lead-/Interessentenverwaltung inkl. Quelle und Wiedervorlage;Soll;nein;Wie wird eine telefonische Anfrage erfasst und nachverfolgt?;1
KUN-06;Kunden & Kontakte;Dokumentenablage je Kunde (Vertrag, Korrespondenz) mit Berechtigungssteuerung;Muss;nein;Wo liegen die Dokumente und wer darf sie sehen?;1
OBJ-01;Einheiten & Belegung;Abbildung aller Einheiten mit Groesse, Typ, Merkmalen und Standort;Muss;ja;Wie werden 2,5 bis 50 m2 sowie Sonderflaechen abgebildet?;1
OBJ-02;Einheiten & Belegung;Grafischer oder listenbasierter Belegungsplan in Echtzeit;Muss;nein;Wie schnell sieht der Mitarbeiter freie Einheiten je Groessenklasse?;1
OBJ-03;Einheiten & Belegung;Statusverwaltung frei/reserviert/belegt/gesperrt inkl. Wartung;Muss;nein;Wie wird eine Einheit wegen Schaden gesperrt?;1
OBJ-04;Einheiten & Belegung;Reservierung mit Ablaufdatum und automatischer Freigabe;Soll;nein;Was passiert mit einer nicht abgeholten Reservierung?;1
OBJ-05;Einheiten & Belegung;Mehrere Standorte/Mandanten ohne Systemwechsel (Skalierung);Soll;nein;Wie wuerde ein zweiter Standort ergaenzt und was kostet er?;2
OBJ-06;Einheiten & Belegung;Grafischer Anlageplan (Facility Map) der Anlage mit Belegungsstatus;Soll;nein;Ist der Anlageplan im Standard bzw. im angebotenen Tarif enthalten?;2
BUC-01;Online-Buchung;Online-Verfuegbarkeitsanzeige und Buchung 24/7 mit Sofortzahlung;Soll;nein;Bitte den kompletten Online-Abschluss live vorfuehren.;2
BUC-02;Online-Buchung;Einbindung in die bestehende Website (Widget/Seite) ohne Website-Neubau;Muss;nein;Wie erfolgt die technische Einbindung in unsere Website?;1
BUC-03;Online-Buchung;Kundenportal zur Selbstverwaltung (Rechnungen, Zahlungsart, Kuendigung, Daten);Soll;nein;Was kann der Kunde selbst erledigen, was nicht?;2
BUC-04;Online-Buchung;Buchungsstrecke vollstaendig in deutscher Sprache und rechtssicher (AGB, Widerruf, Datenschutz);Muss;ja;Sind alle Kundentexte deutschsprachig und anpassbar?;2
BUC-05;Online-Buchung;Funktionsumfang des Kundenportals einschraenkbar (z. B. nur Aenderung der Zahlungsmethode);Soll;nein;Welche Bereiche des Kundenportals lassen sich deaktivieren?;2
